"External migration by sex, age and citizenship 1986-2014"

"Sex";"Year";"Age";"Total Net immigration"
"Total";"1990";"39 years";-9
"Total";"1990";"40 years";-4
"Total";"1990";"41 years";-1
"Total";"1990";"42 years";-3
"Total";"1990";"43 years";0
"Total";"1990";"44 years";-1
"Total";"1990";"45 years";-10
"Total";"1990";"46 years";1
"Total";"1990";"47 years";-6
"Total";"1990";"48 years";2
"Total";"1990";"49 years";2
"Total";"1990";"50 years";-10
"Total";"1990";"51 years";-3
"Total";"1990";"52 years";3
"Total";"1990";"53 years";-2
"Total";"1990";"54 years";3
"Total";"1990";"55 years";-5
"Total";"1990";"56 years";2
"Total";"1990";"57 years";6
"Total";"1990";"58 years";-8
"Total";"1990";"59 years";-4
"Total";"1990";"60 years";-4
"Total";"1990";"61 years";3
"Total";"1990";"62 years";1
"Total";"1990";"63 years";3
"Total";"1990";"64 years";4
"Total";"1990";"65 years";-1
"Total";"1990";"66 years";2
"Total";"1990";"67 years";0
"Total";"1990";"68 years";-2
"Total";"1990";"69 years";1
"Total";"1990";"70 years";2
"Total";"1990";"71 years";-2
"Total";"1990";"72 years";-2
"Total";"1990";"73 years";0
"Total";"1990";"74 years";1
"Total";"1990";"75 years";-1
"Total";"1990";"76 years";1
"Total";"1990";"77 years";0
"Total";"1990";"78 years";2
"Total";"1990";"79 years";-
"Total";"1990";"80 years";-
"Total";"1990";"81 years";0
"Total";"1990";"82 years";-
"Total";"1990";"83 years";-
"Total";"1990";"84 years";-
"Total";"1990";"85 years";-
"Total";"1990";"86 years";-
"Total";"1990";"87 years";1
"Total";"1990";"88 years";1
"Total";"1990";"89 years";-
"Total";"1990";"90 years";-
"Total";"1990";"91 years";-
"Total";"1990";"92 years";-
"Total";"1990";"93 years";-
"Total";"1990";"94 years";-
"Total";"1990";"95 years";-
"Total";"1990";"96 years";-
"Total";"1990";"97 years";-
"Total";"1990";"98 years";-
"Total";"1990";"99 years";-
"Total";"1990";"100 years";-
"Total";"1990";"101 years";-
"Total";"1990";"102 years";-
"Total";"1990";"103 years";-
"Total";"1990";"104 years";-
